resource_id,type,usage,cost,status,task_time,sla_limit
EC2-1,compute,5,5000,active,12,10
EC2-2,compute,80,8000,active,5,10
EC2-3,compute,2,4000,active,14,10
EC2-4,compute,65,9000,active,6,10
EC2-5,compute,10,4500,active,11,10

SaaS-1,subscription,0,2000,active,15,10
SaaS-2,subscription,50,3000,active,6,10
SaaS-3,subscription,5,2500,active,13,10
SaaS-4,subscription,60,3500,active,7,10
SaaS-5,subscription,0,1800,active,16,10

DB-1,database,10,6000,active,9,10
DB-2,database,70,9000,active,5,10
DB-3,database,3,5500,active,14,10
DB-4,database,80,10000,active,4,10
DB-5,database,15,6500,active,11,10

VM-1,compute,7,5200,active,13,10
VM-2,compute,75,8700,active,5,10
VM-3,compute,4,4300,active,15,10
VM-4,compute,60,9100,active,6,10
VM-5,compute,8,4900,active,12,10

API-1,service,20,2000,active,8,10
API-2,service,5,1800,active,13,10
API-3,service,50,3500,active,7,10
API-4,service,3,1500,active,14,10
API-5,service,65,4000,active,6,10

Storage-1,storage,2,1200,active,15,10
Storage-2,storage,40,3000,active,7,10
Storage-3,storage,1,1000,active,16,10
Storage-4,storage,55,3500,active,6,10
Storage-5,storage,5,1300,active,14,10

Tool-1,subscription,0,2200,active,15,10
Tool-2,subscription,45,3200,active,7,10
Tool-3,subscription,5,2400,active,13,10
Tool-4,subscription,70,4000,active,6,10
Tool-5,subscription,0,2100,active,16,10